LOCALIDAD;CATEGORIA;ANO;MES;NUMERO_COMPARENDOS
BARRIOS UNIDOS;H;2016;MAYO;21
BARRIOS UNIDOS;H;2016;NOVIEMBRE;40
BARRIOS UNIDOS;H;2016;OCTUBRE;26
BARRIOS UNIDOS;H;2016;SEPTIEMBRE;45
BARRIOS UNIDOS;H;2017;ABRIL;67
BARRIOS UNIDOS;H;2017;AGOSTO;198
BARRIOS UNIDOS;H;2017;ENERO;68
BARRIOS UNIDOS;H;2017;FEBRERO;123
BARRIOS UNIDOS;H;2017;JULIO;148
BARRIOS UNIDOS;H;2017;JUNIO;100
BARRIOS UNIDOS;H;2017;MARZO;135
BARRIOS UNIDOS;H;2017;MAYO;133
BARRIOS UNIDOS;H;2017;OCTUBRE;2
BARRIOS UNIDOS;H;2017;SEPTIEMBRE;93
BARRIOS UNIDOS;I;2015;AGOSTO;2
BARRIOS UNIDOS;I;2015;DICIEMBRE;1
BARRIOS UNIDOS;I;2015;FEBRERO;2
BARRIOS UNIDOS;I;2015;JULIO;2
BARRIOS UNIDOS;I;2015;JUNIO;1
BARRIOS UNIDOS;I;2015;MAYO;2
BARRIOS UNIDOS;I;2015;NOVIEMBRE;1
BARRIOS UNIDOS;I;2015;OCTUBRE;2
BARRIOS UNIDOS;I;2016;AGOSTO;1
BARRIOS UNIDOS;I;2016;ENERO;1
BARRIOS UNIDOS;I;2016;FEBRERO;3
BARRIOS UNIDOS;I;2016;JUNIO;1
BARRIOS UNIDOS;I;2016;MARZO;1
BARRIOS UNIDOS;I;2016;OCTUBRE;2
BARRIOS UNIDOS;I;2016;SEPTIEMBRE;2
BARRIOS UNIDOS;I;2017;ABRIL;2
BARRIOS UNIDOS;I;2017;AGOSTO;1
BARRIOS UNIDOS;I;2017;ENERO;1
BARRIOS UNIDOS;I;2017;FEBRERO;4
BARRIOS UNIDOS;I;2017;JULIO;2
BARRIOS UNIDOS;I;2017;JUNIO;1
BARRIOS UNIDOS;I;2017;MARZO;6
BARRIOS UNIDOS;I;2017;MAYO;3
BOGOTA D.C.;B;2016;JUNIO;1
BOGOTA D.C.;C;2017;ABRIL;2
BOSA;A;2015;ABRIL;34
BOSA;A;2015;AGOSTO;36
BOSA;A;2015;DICIEMBRE;39
BOSA;A;2015;ENERO;24
BOSA;A;2015;FEBRERO;19
BOSA;A;2015;JULIO;37
BOSA;A;2015;JUNIO;27
BOSA;A;2015;MARZO;24
BOSA;A;2015;MAYO;32
BOSA;A;2015;NOVIEMBRE;33
BOSA;A;2015;OCTUBRE;18
BOSA;A;2015;SEPTIEMBRE;66
BOSA;A;2016;ABRIL;106
BOSA;A;2016;AGOSTO;42
BOSA;A;2016;DICIEMBRE;24
BOSA;A;2016;ENERO;85
BOSA;A;2016;FEBRERO;120
BOSA;A;2016;JULIO;50
BOSA;A;2016;JUNIO;77
BOSA;A;2016;MARZO;79
BOSA;A;2016;MAYO;139
BOSA;A;2016;NOVIEMBRE;75
BOSA;A;2016;OCTUBRE;48
BOSA;A;2016;SEPTIEMBRE;39
BOSA;A;2017;ABRIL;18
BOSA;A;2017;AGOSTO;79
BOSA;A;2017;ENERO;49
BOSA;A;2017;FEBRERO;39
BOSA;A;2017;JULIO;85
BOSA;A;2017;JUNIO;42
BOSA;A;2017;MARZO;57
BOSA;A;2017;MAYO;33
BOSA;A;2017;SEPTIEMBRE;19
BOSA;B;2015;ABRIL;50
BOSA;B;2015;AGOSTO;58
BOSA;B;2015;DICIEMBRE;76
BOSA;B;2015;ENERO;64
